"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2015 HM1)","2024-Oct-24 04:36 ± 4_20:05","0.03694","0.01219","10.88","10.87","25.2","24 m -   54 m","0"
"363305 (2002 NV16)","2024-Oct-24 15:47 ± < 00:01","0.03021","0.03021","4.87","4.85","21.4","140 m -  310 m","1"
"(2021 UE2)","2024-Oct-24 21:37 ±    13:45","0.03475","0.03087","7.12","7.11","24.7","30 m -   68 m","0"
"(2023 TG14)","2024-Oct-24 23:34 ±    00:41","0.01681","0.01605","6.90","6.88","25.8","18 m -   40 m","0"
"(2007 UT3)","2024-Oct-26 20:04 ± 4_12:08","0.04521","0.00996","10.38","10.37","25.9","18 m -   39 m","0"
"(2020 WG)","2024-Oct-28 06:35 ± < 00:01","0.02223","0.02223","9.43","9.42","21.7","120 m -  270 m","1"
"(2021 CV1)","2024-Oct-30 19:46 ± 3_08:55","0.03690","0.00540","23.60","23.60","24.9","28 m -   63 m","0"
"(2023 KX3)","2024-Oct-31 15:28 ±    00:38","0.04817","0.04812","2.44","2.41","25.8","19 m -   42 m","0"
"(2022 UD21)","2024-Oct-31 22:11 ± 2_11:59","0.02929","0.02660","11.75","11.74","25.6","20 m -   45 m","0"
"(2016 VA)","2024-Nov-01 22:52 ±    14:48","0.00378","0.00076","21.17","21.13","27.6","8.0 m -   18 m","0"
"(2023 VS)","2024-Nov-04 14:51 ±    00:36","0.03882","0.03803","4.32","4.31","29.8","2.9 m -  6.4 m","0"
"(2019 WB7)","2024-Nov-11 12:35 ± 8_08:05","0.04440","0.03586","5.70","5.69","24.4","35 m -   78 m","0"
"(2020 UL3)","2024-Nov-12 12:27 ± < 00:01","0.01047","0.01047","10.46","10.44","23.2","61 m -  140 m","1"
"(2020 AB2)","2024-Nov-13 03:55 ± 4_23:53","0.04828","0.03832","7.20","7.19","27.0","11 m -   24 m","0"
"(2019 VU5)","2024-Nov-14 21:12 ± 9_20:56","0.03070","0.00665","23.31","23.31","24.4","35 m -   77 m","0"
"(2019 VL5)","2024-Nov-14 23:43 ± < 00:01","0.02461","0.02461","8.49","8.47","25.9","18 m -   40 m","0"
"(2023 WK3)","2024-Nov-18 13:40 ±    01:28","0.04120","0.04039","14.48","14.47","20.6","200 m -  460 m","1"
"(2012 KO11)","2024-Nov-20 02:27 ± 3_18:47","0.01575","0.01556","9.43","9.41","24.6","32 m -   71 m","0"
"(2020 VX4)","2024-Nov-20 20:34 ± 1_12:54","0.02698","0.00540","10.48","10.47","27.5","8.4 m -   19 m","0"
"(2009 WB105)","2024-Nov-25 00:44 ± < 00:01","0.03868","0.03868","18.90","18.89","23.5","53 m -  120 m","0"
"(2006 WB)","2024-Nov-26 18:00 ± < 00:01","0.00596","0.00596","4.20","4.10","22.8","73 m -  160 m","2"
"(2018 DC4)","2024-Nov-29 07:28 ± 1_03:07","0.04808","0.04217","4.49","4.47","27.3","9.2 m -   21 m","0"
